sample_id,subtype,TMB,immune_score,CD274,PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,IDO1,VTCN1,CD276,PDCD1LG2,CD8 T_score,Treg_score,Cytotoxic_score,NK_score,B cell_score,Macrophage_score,DC_score,Neutrophil_score
TCGA-BG-A0M3-01A,IS2,1.4736842105263157,1.9750112649334572,0.3291,0.5951,0.486,1.9057,2.4283,0.3415,13.5662,127.3605,39.6869,0.2138,0.9592241230502181,0.9153214864037533,1.3238102860352752,0.7716782345936294,0.5991928107252736,0.47306566836382963,1.010399171345965,1.9231552767670996
TCGA-B5-A11V-01A,IS2,1.3157894736842106,2.4066130449994976,0.9897,2.298,5.2072,1.9218,2.9067,0.445,4.3605,5.3728,118.0639,0.4334,2.6801379963529266,1.640123657359857,2.2295387948622833,1.082172706901567,1.119003839414557,0.7349653048619006,1.1722193475867497,2.8672879323305938
TCGA-PG-A5BC-01A,IS2,0.9736842105263158,2.4327382430694313,0.5317,1.7473,0.7902,1.5448,2.7422,0.8908,10.0806,278.0595,108.4459,0.2028,1.7650712252895322,1.8298311711150006,1.9128299860594624,0.8620184014490345,1.811747571838728,1.0177330200266936,1.2943438225067245,0.8477824497999474
TCGA-FI-A3PV-01A,IS2,1.394736842105263,2.1545517857718344,0.7112,0.7961,0.2275,0.6601,0.9313,0.4226,28.1802,1380.1366,67.4185,0.2002,0.9799632310975451,1.705827786127073,1.4800844729515883,0.8983593505136248,0.5046867435982323,0.6408002036117856,0.681797265010207,0.8301836249009754
TCGA-FI-A2F9-01A,IS2,1.0526315789473684,1.7314028141132523,0.2251,0.7056,0.0,5.1443,2.5912,0.1215,13.3624,7.1488,111.201,0.0,0.8106590291734636,1.372306616529377,1.38116654454365,0.8739305399974495,0.8017370078556577,1.0864365666008975,0.799489353648559,1.687637088999356
TCGA-B5-A3FD-01A,IS2,1.0,2.358617223677945,0.3831,0.5547,0.2558,1.8583,6.4758,0.4606,11.613,12.0479,96.2555,0.5908,2.1111513287038184,1.3069653510283854,2.172825453475699,1.0541372645298335,1.1598283403692602,1.18518469936513,1.372659743637053,2.0498450755140607
TCGA-FI-A2EY-01A,IS2,2.1315789473684212,1.1954970972043455,0.0507,0.1985,0.0,0.4655,0.4321,0.0399,5.3914,45.6309,9.0253,0.1427,0.10175060284053189,0.29547999899508803,0.43035127818838315,0.3102571452972315,0.21947565262520363,0.17642029909672588,0.9137163127877036,3.2601639404338125
TCGA-D1-A179-01A,IS2,,2.1483502511327988,0.6227,1.159,0.2989,3.2229,3.5044,0.462,174.9626,13.48,81.2693,0.4208,1.2640373393837365,1.2496483620293495,1.5995133140118782,0.8812027176921797,0.5906346545942499,0.8832085809234557,1.2461519424901768,2.1564397888863245
TCGA-D1-A177-01A,IS2,,1.801132349551068,0.7903,0.9584,0.289,2.5294,1.4439,0.3553,3.8117,8.7334,105.4711,0.7628,1.1161283728073108,0.8880570714475735,1.3046730173104912,0.729811367325783,0.4566449979338365,0.7219433401553182,0.8897369707437017,1.7849824744001526
TCGA-B5-A11W-01A,IS2,1.631578947368421,2.3367930531530066,0.5113,1.7675,1.2701,3.679,3.8849,1.1765,7.4738,14.0405,60.3993,0.4572,1.469610599088674,1.3414580661643452,1.9579520691645775,0.8956023351087617,1.6852736420031686,0.5719827262475875,1.165535479793736,3.203024462375607
TCGA-BG-A0M0-01A,IS2,3.473684210526316,1.7694399896551052,0.2985,1.0527,0.2292,1.3644,0.9163,0.1611,3.7972,51.1695,103.2635,0.0504,0.8959618246619827,0.6947502717735174,0.7953550897865921,0.5477957144894708,0.5382953609416149,0.38401864997922863,0.5101974029336447,0.40137544244274664
TCGA-DI-A1NO-01A,IS2,5.526315789473684,1.9307622405142129,0.8202,0.8926,0.1749,4.0018,1.5929,0.6966,2.2182,46.6674,47.2572,0.3592,0.6618794075338944,1.0849405136309462,1.1762956663340847,0.586746005477059,0.4149902906177052,0.40533870867309024,0.6281555945786246,0.8470185573176696
TCGA-DI-A2QU-01A,IS2,1.394736842105263,1.7485891988037683,0.3014,0.5483,0.248,1.0418,2.5882,0.2904,16.8616,24.8347,38.5739,0.4,1.0895841393586,0.8155736267323844,1.2414350731622692,0.7699547304632675,1.3985114980058349,0.7732432289057457,0.9811116727455692,1.1124891609975591
TCGA-D1-A0ZU-01A,IS2,0.6842105263157895,2.4412057008079433,0.5947,1.4103,1.6824,2.3983,2.2017,0.7177,126.0385,58.0255,120.1617,0.6873,2.2139093077185494,1.6697230154477367,1.914313393896558,0.931444937463558,0.7985784417267837,1.2899804495681915,1.0025612166392541,3.2411776853065533
TCGA-EY-A1GO-01A,IS2,6.657894736842105,1.8211469349954081,0.3882,0.4026,0.0,4.6039,0.6132,0.1078,10.4337,52.6151,68.2512,0.2314,0.7785095581124155,0.8065225923191616,1.1802338742020133,0.7238898350162083,1.2624266128857402,0.3748969338259715,1.2577445505284173,1.7120138903393711
TCGA-EY-A1GL-01A,IS2,0.9736842105263158,2.2618848166152663,2.2063,15.3673,1.3287,1.3375,1.4754,0.3112,5.8083,4.5793,54.5045,2.8985,0.97535124624657,1.094700955946747,2.338090696184579,0.7023872997620022,0.2057413368962989,1.0910447829487333,0.6704296808360779,4.690324211668776
TCGA-EO-A22S-01A,IS2,15.789473684210526,2.108499493456928,0.8281,1.0544,0.3974,2.7829,3.495,0.9494,24.8698,24.3307,135.588,0.9791,1.5535227446841893,1.3662534074436745,2.102781660427708,1.054347528637343,0.6677757211556147,1.4945239764086338,0.9138283541937775,1.5051368109870884
TCGA-D1-A0ZS-01A,IS2,10.18421052631579,2.253316403827765,0.5637,0.4908,0.3607,3.7048,4.4861,0.4436,3.3566,6.7155,220.7009,0.5819,3.1926936376202084,1.0280145638943023,1.6587106281060902,1.0210715627765248,0.5791118179202387,1.4911640033318478,1.0124851693097476,3.0373186582217215
TCGA-EY-A1G8-01A,IS2,59.81578947368421,2.147843497216888,0.8563,0.4194,0.1644,4.7195,1.5333,0.231,86.1787,55.6076,123.397,0.1446,1.0679288121793276,1.344952678120509,1.8410973089601324,0.6607084800095622,0.8522964979141476,1.2824018949974958,0.7628908234101074,2.736481171382776
TCGA-EO-A22U-01A,IS2,320.5,2.4184886607773333,1.2775,4.0534,1.8996,8.5861,4.8785,2.9002,5.7215,2.9057,92.5467,1.4892,2.0460300943672274,1.6122664834740519,3.4391743855749604,1.522405211349149,2.568199821379934,1.171968093828773,0.9642688433547981,1.0286433290967663
TCGA-EY-A1G7-01A,IS2,1.9473684210526316,2.3017821514979704,1.4654,0.2944,0.0721,1.7678,3.1717,0.1014,89.1704,275.8206,146.2745,1.0155,2.0865048125516497,2.0108578235591934,1.114988805815757,1.0371793528616997,0.7194980610558942,1.6954810370827842,0.7902488639716809,2.57797654847183
TCGA-BS-A0U8-01A,IS2,10.605263157894736,2.3174395574025204,0.5607,3.417,1.7937,7.4109,2.4698,1.6806,6.1629,20.6281,44.4172,0.8944,1.8621677121489222,1.629153299433012,2.506485248487287,1.157792871860714,1.4635315654340424,0.4523161615213658,1.106794028902423,1.5788882984956623
TCGA-EO-A3KX-01A,IS2,,2.507748580891914,1.5526,3.6879,2.6079,15.1836,3.9218,1.7016,16.7316,150.7091,71.3207,0.9179,1.9921582173182693,1.9171225121629558,3.4463591930118014,1.2218011718837598,0.8114880620962106,1.043389262962217,0.9751459507581524,1.3807526701285286
TCGA-BS-A0UT-01A,IS2,0.9210526315789473,2.028689089279094,0.71,6.6759,0.5451,4.5809,2.724,0.0958,13.3786,11.8511,42.9871,1.7988,0.8474820547669436,1.1112350079503783,1.9035906259236655,0.7072492971726932,0.3951782396672236,0.5805630124843502,1.117400929919182,3.108183239210724
TCGA-BS-A0V4-01A,IS2,7.526315789473684,1.786911629338823,0.174,0.1704,0.334,1.4032,0.6397,0.1173,4.4309,27.152,38.5405,0.0735,0.07941330359756048,1.0133112079146258,0.7599276686044617,0.999759823680255,0.4658949601723285,0.2736210343470244,0.9310051822523202,3.182564761019833
