antigen,spearman_r,pvalue,n,FDR
DNMT1,0.05836420928200276,0.17207570761836408,549,0.3123548170898565
OTUB2,0.07835456536807406,0.06657344427181985,549,0.16146132023601123
CCDC160,0.0076890075508040225,0.8573478692166202,549,0.9211761572741075
GCNT1,0.05239236930753025,0.22033555542261668,549,0.37601790407158964
ACOT4,-0.016427056846811682,0.7009437022241487,549,0.8185846032967331
SLC26A2,0.056296554149850804,0.18780221258786184,549,0.33213432150561345
E2F3,0.024987219024777612,0.5590682402171584,549,0.7111542685678545
BRIP1,0.05264090175323546,0.2181514586772401,549,0.3740191951292204
HELLS,0.00620974625173138,0.884577617794967,549,0.9350563566073855
ALG3,-0.0874950050946222,0.0404296266333659,549,0.11094421017465901
HK3,0.4158551894437979,2.2757060006479374e-24,549,1.4779446193096883e-22
HMBS,-0.08826750211218323,0.03868738034524811,549,0.10704312954392393
DARS2,0.022486103103549558,0.5990745303987575,549,0.7441882669906408
FREM2,0.03577861018150379,0.40277426848464165,549,0.570718933161874
KLHL35,-0.12904475629456488,0.002450406203012052,549,0.012347089876384004
KCNN4,0.07196529260473516,0.09207694545835161,549,0.20424658299964524
MUC16,0.0486100582929955,0.25551891838664853,549,0.417414663879421
DHRS13,-0.05405441470059271,0.20602431919203482,549,0.35790101489475284
MTHFD2,0.036852321894044957,0.38879638425210106,549,0.5577754269558406
FADS2,-0.09249302888886472,0.030243385883511234,549,0.0877283327489445
DHCR7,-0.10934161526718665,0.010353091294073023,549,0.038421472135782106
HOOK1,0.0025937247308552803,0.951650298493527,549,0.9767370846956906
PPP1R14C,0.07135879556604699,0.09485825071234161,549,0.2088310641859272
MAP7,0.07289668251257339,0.08793332516901657,549,0.19844412571926712
CDK16,-0.13686780452605513,0.0013055976717179414,549,0.007267827039229874
SIPA1L2,0.06392942457708928,0.1346456316272438,549,0.26433041191701084
DHDH,-0.20075638650405206,2.121343547573779e-06,549,2.9174713024867616e-05
PTPN6,0.18297830524945521,1.6031171626719424e-05,549,0.00017117236138268298
