gene,log2FC,mean_tumor_tpm,mean_normal_tpm,pvalue,FDR
RAB5A,-0.06502451831621059,40.72818306010929,42.65196571428572,0.36925616357573066,0.4188372764986184
CATSPERG,0.3186011934802738,1.4007253187613844,0.9250142857142858,0.36925609146836036,0.4188372764986184
MERTK,0.2915041768537674,13.96670892531876,11.228545714285714,0.36980733015287737,0.4194047798764124
RPSA,0.1568025337555774,757.9062823315119,679.7472285714286,0.36980733015287737,0.4194047798764124
DNAH6,-0.4272160024785763,2.7015043715846994,3.9771771428571427,0.37008306541009095,0.41968864539013473
OSGEP,0.10207481209464486,22.889804918032787,21.257942857142854,0.3703589932673287,0.41991497421713125
CHORDC1,0.0926412761768387,8.924757741347905,8.307480000000002,0.37035900047481374,0.41991497421713125
CCNL2,0.070666312225514,66.87927395264116,63.634517142857135,0.37035900047481374,0.41991497421713125
ACER3,0.008667058197775024,10.92118524590164,10.849782857142856,0.37091116722481365,0.4204254671685809
GPR55,0.5204670586064908,0.7217296903460838,0.20029714285714284,0.3708678126019924,0.4204254671685809
SLC51A,0.39603291303891663,3.9788371584699447,2.783642857142857,0.37091116722481365,0.4204254671685809
MRPL1,-0.014337965996581659,46.54994590163934,47.02486857142857,0.37091118163648296,0.4204254671685809
H2AC19,0.11460903788246765,0.20185391621129328,0.11007142857142854,0.37126960864965575,0.4208028306885147
COL7A1,-0.5913172452603308,10.28682586520947,16.00497714285714,0.37146387352089394,0.42099409118277864
SPATA45,0.10430247612057025,0.5116783242258651,0.4062457142857143,0.3715447484254589,0.4210568250805895
BMP8B,0.4018543346524228,3.832745173041894,2.657831428571429,0.37201706880737406,0.4215631294171342
TXK,0.3212775158149317,2.7757005464480873,2.021922857142857,0.37257076738163686,0.4221615741938355
CCDC97,-0.0673684143505735,46.84586375227686,49.13307142857142,0.37312501232267636,0.422702496278206
GATD1,-0.021986609884052655,42.84553260473589,43.518854285714276,0.37312501232267636,0.422702496278206
TBC1D22B,0.10659997031486057,20.466435154826957,18.937474285714288,0.37312501232267636,0.422702496278206
MICOS13,0.1248160197479331,100.24195883424407,91.8511257142857,0.3736797459041509,0.42327280795926403
PXDNL,0.16845195164088184,0.3405979963570127,0.19286,0.37366676873395976,0.42327280795926403
AFG1L,-0.01232663064263928,1.6479329690346083,1.6706542857142859,0.37395721764008594,0.42355802393423986
PTER,0.0840702694395925,10.403103460837887,9.7576,0.37423498240983555,0.42384353262837005
GLYR1,-0.07777662002466723,63.13300273224045,66.68534857142859,0.3753470068692957,0.42507378633509335
PRM2,0.012254558978399915,0.16727595628415298,0.15740285714285715,0.375562131499683,0.4252882178242686
MYL5,-0.023330938465511153,6.157720218579235,6.274414285714286,0.3761823507598693,0.4259613193436049
RNF222,0.09417388349076433,0.17855154826958106,0.10407714285714284,0.37626447701707855,0.42602507321582334
SMN1,0.15101096237092726,5.503808378870674,4.857454285714285,0.3764610487295199,0.42615991622944527
TARDBP,0.07955349392837707,58.87705755919854,55.664682857142864,0.376461063106312,0.42615991622944527
PEG10,0.6797473165448453,44.470502550091076,27.38608,0.3764610487295199,0.42615991622944527
SNX10,-0.048149008638935786,8.147455191256832,8.457897142857142,0.37673987407271614,0.4264462739246429
ALPK3,1.5312114191974135,11.127971584699454,3.196117142857143,0.37729793555729996,0.4270486649852041
RALGAPA2,0.2910555293847361,18.288825136612022,14.764831428571428,0.37757715010445814,0.4273353791879914
TTC29,-0.9187219012898822,2.780405282331512,6.146628571428571,0.37818571836844717,0.4279947854055866
HOGA1,0.2357394567725435,1.8084020036429873,1.3850342857142857,0.3784139128581463,0.428223659670327
SCGB1C1,0.9965072888515987,1.2046903460837886,0.10501714285714286,0.3785270419744703,0.4283223003082861
ZGPAT,0.13896763802377077,4.711927504553734,4.187394285714285,0.37925506716388524,0.4290872944142348
ATF6B,-0.008862050898136076,85.2988912568306,85.83063142857142,0.379255117417164,0.4290872944142348
LDLRAD1,-1.4382424678638772,17.08123661202186,47.99844,0.38065484248266035,0.4306414037769273
RLN1,-0.19483784042630847,0.40966830601092896,0.6135,0.38071360048307723,0.4306783448141668
CXCR6,0.0633494001425805,3.628851366120219,3.4299942857142858,0.3809376497768997,0.4308136457611104
MED15,0.09106127266843345,38.71384735883424,36.28462571428572,0.3809376497768997,0.4308136457611104
FNDC1,-0.034856668738183494,5.899567941712204,6.068297142857143,0.38093764260367924,0.4308136457611104
PHYHD1,-0.03536646273465749,44.62023770491803,45.752399999999994,0.38093765695011994,0.4308136457611104
PUS3,-0.036680424968785985,20.065587795992712,20.60804571428572,0.381499520467934,0.4313899306840285
PGM2L1,0.12873846069436068,13.305396174863388,12.084157142857142,0.381499520467934,0.4313899306840285
TMPRSS7,-0.16523512787087682,0.09845264116575592,0.23174857142857144,0.381632272574539,0.4315104676125519
BTBD2,0.10843320947723889,84.91546666666667,78.69474857142858,0.38234326154097553,0.4322847538996035
TFAM,0.011069424258637994,26.162507650273227,25.954894285714285,0.3826247721762509,0.4325437502647518
ZNF837,0.1757106707422449,8.863829690346085,7.732757142857143,0.3826247650090032,0.4325437502647518
ABHD15,0.03222031412820536,11.417310018214936,11.143062857142857,0.38318815291810315,0.4331212761607883
AUTS2,0.2686544372558961,6.5228127504553735,5.244637142857143,0.38318815291810315,0.4331212761607883
SCYGR10,0.16287810623502091,0.2686989071038251,0.13325428571428571,0.3832792259552593,0.433194537905725
POLR3E,0.15838888648204863,13.37492513661202,11.880294285714287,0.3837520486715239,0.43366952648544077
ENY2,0.2189049876862219,31.679345173041895,27.078659999999996,0.3837520558347042,0.43366952648544077
WNT16,0.7384723015436621,1.0655036429872495,0.2380085714285714,0.38404523744209773,0.4339116783536316
VASH2,0.35513666543679423,2.513523497267759,1.7468571428571429,0.3840341582960556,0.4339116783536316
ZBTB7C,-0.47751121861105084,7.972221493624774,11.492379999999999,0.38403417978251553,0.4339116783536316
EPB41L5,0.11369086442119603,12.694909289617486,11.657117142857143,0.3843164521245175,0.4341883741115038
PLTP,0.1809957897653618,346.2423812386157,305.3004,0.384881370290165,0.4347968260098016
CLDN2,2.084015395761142,8.022608196721311,1.1280457142857143,0.3853759444997329,0.43532573312951683
ANXA1,0.7194437218463303,252.26750819672137,152.81735428571434,0.3854467887011065,0.4353461436291405
