gene,mut_freq_pct,n_mut_samples
PIK3C2A,9.270216962524655,47
ITGAL,9.270216962524655,47
PCDHB8,9.270216962524655,47
IGSF9,9.270216962524655,47
PLEKHH2,9.270216962524655,47
PCNX1,9.270216962524655,47
INTS1,9.270216962524655,47
NYNRIN,9.270216962524655,47
DOCK9,9.270216962524655,47
TBC1D4,9.270216962524655,47
PTPRK,9.270216962524655,47
ASTN1,9.270216962524655,47
HRNR,9.270216962524655,47
MDC1,9.270216962524655,47
ATF7IP,9.270216962524655,47
TNS1,9.270216962524655,47
ZNF609,9.270216962524655,47
ABCA8,9.270216962524655,47
LTN1,9.270216962524655,47
SLITRK5,9.072978303747535,46
C2orf16,9.072978303747535,46
KDM5A,9.072978303747535,46
TUT4,9.072978303747535,46
EPRS1,9.072978303747535,46
TAB3,9.072978303747535,46
TRAPPC8,9.072978303747535,46
COL19A1,9.072978303747535,46
CCDC144A,9.072978303747535,46
RADX,9.072978303747535,46
LY75,9.072978303747535,46
ZSWIM8,9.072978303747535,46
CYFIP2,9.072978303747535,46
TTC37,9.072978303747535,46
CASP8AP2,9.072978303747535,46
EPPK1,9.072978303747535,46
ECPAS,9.072978303747535,46
SEMA6D,9.072978303747535,46
MMS22L,9.072978303747535,46
SMC4,9.072978303747535,46
CC2D2A,9.072978303747535,46
NEXMIF,9.072978303747535,46
CSPG4,9.072978303747535,46
MIA2,9.072978303747535,46
ITIH6,9.072978303747535,46
CYLC1,9.072978303747535,46
NCAPD3,9.072978303747535,46
SCAF11,9.072978303747535,46
RTL9,9.072978303747535,46
CHD1,9.072978303747535,46
USP24,9.072978303747535,46
PTPRG,9.072978303747535,46
ZFR,9.072978303747535,46
ARHGAP36,9.072978303747535,46
GRM8,9.072978303747535,46
DLG2,9.072978303747535,46
SETDB1,9.072978303747535,46
GPATCH8,9.072978303747535,46
MET,9.072978303747535,46
FMN2,9.072978303747535,46
EPHA3,9.072978303747535,46
SHROOM4,9.072978303747535,46
CFH,9.072978303747535,46
KCNT2,9.072978303747535,46
LMTK2,9.072978303747535,46
MON2,9.072978303747535,46
DGKD,9.072978303747535,46
ABCC5,9.072978303747535,46
LAMC3,9.072978303747535,46
PCDH10,9.072978303747535,46
CDH8,9.072978303747535,46
ZNF532,9.072978303747535,46
SULF1,9.072978303747535,46
RTTN,9.072978303747535,46
ABCC11,9.072978303747535,46
TNRC6A,9.072978303747535,46
KMT2E,9.072978303747535,46
CARD11,9.072978303747535,46
MEGF10,9.072978303747535,46
AL592490.1,9.072978303747535,46
BPTF,9.072978303747535,46
SDK2,9.072978303747535,46
NBAS,9.072978303747535,46
KIF5A,9.072978303747535,46
ATP10D,9.072978303747535,46
DAPK1,9.072978303747535,46
NRXN2,9.072978303747535,46
PCDHA4,9.072978303747535,46
TMEM131,9.072978303747535,46
ABCC1,9.072978303747535,46
MYLK,9.072978303747535,46
DNAJC13,9.072978303747535,46
TP53BP2,8.875739644970414,45
PARD3,8.875739644970414,45
L1CAM,8.875739644970414,45
KIF1A,8.875739644970414,45
DHX29,8.875739644970414,45
POLR2B,8.875739644970414,45
CNTN1,8.875739644970414,45
AASDH,8.875739644970414,45
TP53BP1,8.875739644970414,45
NLRP5,8.875739644970414,45
MAP7D3,8.875739644970414,45
SORBS2,8.875739644970414,45
CAMSAP1,8.875739644970414,45
NBEAL2,8.875739644970414,45
ADGRF5,8.875739644970414,45
DDX27,8.875739644970414,45
CHRM3,8.875739644970414,45
NLRP3,8.875739644970414,45
LAMB2,8.875739644970414,45
SLC4A3,8.875739644970414,45
ABCC4,8.875739644970414,45
PHF14,8.875739644970414,45
WDR17,8.875739644970414,45
LTBP4,8.875739644970414,45
MLH3,8.875739644970414,45
SCN4A,8.875739644970414,45
SIK3,8.875739644970414,45
EXPH5,8.875739644970414,45
FSTL5,8.875739644970414,45
PZP,8.875739644970414,45
MTM1,8.875739644970414,45
TRIP11,8.875739644970414,45
WDR44,8.875739644970414,45
ARHGEF17,8.875739644970414,45
PIK3R4,8.875739644970414,45
RLF,8.875739644970414,45
SPG11,8.875739644970414,45
DLC1,8.875739644970414,45
STAB1,8.875739644970414,45
FXR1,8.875739644970414,45
COL24A1,8.875739644970414,45
CFAP54,8.875739644970414,45
WRN,8.875739644970414,45
HFM1,8.875739644970414,45
INSR,8.875739644970414,45
HDX,8.875739644970414,45
TNS3,8.875739644970414,45
